time, signal, bids, asks, maxclose120h, target
2014.02.16 00:00:00, 0, 1.37119, 1.37135, 1.37621, 0.3544366572101668
2014.02.10 00:00:00, 0, 1.36643, 1.36662, 1.36918, 0.187349516623619
2014.02.09 00:00:00, 0, 1.36234, 1.3625, 1.36785, 0.3927066664709225
2014.02.07 00:00:00, 0, 1.36342, 1.36402, 1.36643, 0.1767613794722113
2014.02.06 00:00:00, 0, 1.35923, 1.3598, 1.36643, 0.4877761673888993
2014.01.31 00:00:00, 0, 1.34849, 1.3489, 1.3533, 0.3262908883269405
2014.01.30 00:00:00, 0, 1.35506, 1.35539, 1.35222, -0.2339379806060171
2014.01.29 00:00:00, 0, 1.36488, 1.3663, 1.35506, -0.8235156204208368
2014.01.28 00:00:00, 0, 1.36564, 1.36696, 1.36488, -0.1523095398494539
2014.01.27 00:00:00, 0, 1.36718, 1.36742, 1.36564, -0.1301949999268651
2014.01.26 00:00:00, 0, 1.36824, 1.3684, 1.36718, -0.08916564345436465
2014.01.24 00:00:00, 0, 1.36752, 1.36792, 1.36824, 0.02340002340003056
2014.01.23 00:00:00, 0, 1.36837, 1.36883, 1.36824, -0.04311699321089094
2014.01.17 00:00:00, 0, 1.35405, 1.35428, 1.35663, 0.1735534138325819
2014.01.16 00:00:00, 0, 1.3611, 1.36151, 1.35663, -0.358533539049298
2014.01.15 00:00:00, 0, 1.36171, 1.36193, 1.3611, -0.06095277261679127
2014.01.14 00:00:00, 0, 1.36391, 1.36418, 1.36171, -0.1810969932033618
2014.01.13 00:00:00, 0, 1.36604, 1.36662, 1.36391, -0.1983836490878738
2014.01.12 00:00:00, 0, 1.36726, 1.36742, 1.36604, -0.1009317905884716
2014.01.10 00:00:00, 0, 1.36665, 1.3673, 1.36726, -0.002926864961770754
2014.01.09 00:00:00, 0, 1.36069, 1.36095, 1.36726, 0.4637353107614547
2014.01.07 00:00:00, 0, 1.36273, 1.36306, 1.36726, 0.3082048534926201
2014.01.06 00:00:00, 0, 1.36288, 1.36316, 1.36665, 0.2560753698051018
2014.01.05 00:00:00, 0, 1.35839, 1.35855, 1.36288, 0.3187597081839654
2014.01.03 00:00:00, 0, 1.35874, 1.35902, 1.36288, 0.2840867274092155
2014.01.02 00:00:00, 0, 1.36634, 1.3667, 1.36288, -0.2795790213270441
2014.01.01 00:00:00, 0, 1.37647, 1.37824, 1.36634, -0.8645302839873024
2013.12.31 00:00:00, 0, 1.37876, 1.3792, 1.37647, -0.1980040035974281
2013.12.30 00:00:00, 0, 1.3802, 1.3808, 1.37876, -0.1478046659904231
2013.12.29 00:00:00, 0, 1.37459, 1.37475, 1.3802, 0.3964818600455376
2013.12.27 00:00:00, 0, 1.37462, 1.37526, 1.3802, 0.3593720446377868
2013.12.23 00:00:00, 0, 1.36858, 1.37018, 1.37462, 0.3244238553829354
2013.12.22 00:00:00, 0, 1.36808, 1.36824, 1.37462, 0.4663469972516265
2013.12.20 00:00:00, 0, 1.367, 1.36766, 1.37161, 0.2889539136795829
2013.12.19 00:00:00, 0, 1.36427, 1.36445, 1.36858, 0.302725999985354
2013.12.18 00:00:00, 0, 1.3774, 1.37756, 1.36858, -0.6519529548424399
2013.12.17 00:00:00, 0, 1.37724, 1.37754, 1.3774, -0.01016525805233866
2013.12.16 00:00:00, 0, 1.37607, 1.37636, 1.3774, 0.07557755056066567
2013.12.15 00:00:00, 0, 1.37589, 1.37605, 1.3774, 0.09811830887643359
2013.12.13 00:00:00, 0, 1.37376, 1.37451, 1.3774, 0.210371535057074
2013.12.12 00:00:00, 0, 1.37485, 1.37536, 1.37724, 0.1367421900571047
2013.12.11 00:00:00, 0, 1.37824, 1.37841, 1.37607, -0.1697817506384961
2013.12.10 00:00:00, 0, 1.37543, 1.37561, 1.37824, 0.1912129297746821
2013.12.09 00:00:00, 0, 1.376, 1.37619, 1.37824, 0.1489825581395427
2013.12.01 00:00:00, 0, 1.3607, 1.36086, 1.36676, 0.4336003527596102
2013.11.29 00:00:00, 0, 1.35901, 1.35965, 1.3607, 0.07726212463484414
2013.11.28 00:00:00, 0, 1.36166, 1.36196, 1.3607, -0.0925341127741168
2013.11.27 00:00:00, 0, 1.35718, 1.3574, 1.36166, 0.3138861462738863
2013.11.26 00:00:00, 0, 1.35602, 1.35646, 1.36166, 0.3834751699827505
2013.11.22 00:00:00, 0, 1.35554, 1.35595, 1.35718, 0.090738746182338
2013.11.19 00:00:00, 0, 1.35503, 1.3554, 1.35554, 0.01033187457104485
2013.11.18 00:00:00, 0, 1.35136, 1.35157, 1.35554, 0.2937781198200188
2013.11.17 00:00:00, 0, 1.34852, 1.34866, 1.35503, 0.4723697090143259
2013.11.15 00:00:00, 0, 1.34943, 1.34974, 1.35503, 0.3920173702970897
2013.11.13 00:00:00, 0, 1.34753, 1.34835, 1.35136, 0.2233716503528812
2013.11.12 00:00:00, 0, 1.34418, 1.34436, 1.34943, 0.3771816274606011
2013.11.07 00:00:00, 0, 1.34132, 1.3419, 1.34418, 0.1699818089642917
2013.11.06 00:00:00, 0, 1.35181, 1.35197, 1.34132, -0.7878326096122847
2013.11.05 00:00:00, 0, 1.34703, 1.34728, 1.35181, 0.3362954054475345
2013.11.04 00:00:00, 0, 1.35078, 1.35094, 1.35181, 0.06440723137743737
2013.11.01 00:00:00, 0, 1.34858, 1.34922, 1.35181, 0.1920538640644137
2013.10.31 00:00:00, 0, 1.35486, 1.35521, 1.35181, -0.25094843747694
2013.10.30 00:00:00, 0, 1.37321, 1.37389, 1.35486, -1.385804064928168
2013.10.29 00:00:00, 0, 1.37377, 1.37393, 1.37321, -0.05241051995602117
2013.10.28 00:00:00, 0, 1.37807, 1.37823, 1.37377, -0.3236410342000138
2013.10.25 00:00:00, 0, 1.3802, 1.38045, 1.37807, -0.1724387769888297
2013.10.24 00:00:00, 0, 1.37916, 1.37937, 1.3802, 0.06018155979000887
2013.10.23 00:00:00, 0, 1.3788, 1.37896, 1.3802, 0.0899332753118587
2013.10.22 00:00:00, 0, 1.37847, 1.37899, 1.3802, 0.08777847903833316
2013.10.10 00:00:00, 0, 1.35397, 1.35423, 1.35566, 0.1056153385968701
2013.10.09 00:00:00, 0, 1.3498, 1.35, 1.35566, 0.4193213809453086
2013.10.08 00:00:00, 0, 1.35645, 1.35665, 1.35566, -0.07298462899480604
2013.10.07 00:00:00, 0, 1.35653, 1.35673, 1.35645, -0.0206408999432418
2013.10.04 00:00:00, 0, 1.35565, 1.35604, 1.35653, 0.03614502268285336
2013.10.03 00:00:00, 0, 1.36277, 1.36298, 1.35653, -0.4733007037137644
2013.10.02 00:00:00, 0, 1.36035, 1.36065, 1.36277, 0.1558422464806941
2013.09.25 00:00:00, 0, 1.352, 1.35229, 1.35343, 0.08431952662722936
2013.09.24 00:00:00, 0, 1.34715, 1.34749, 1.35343, 0.440930854025152
2013.09.23 00:00:00, 0, 1.34933, 1.34961, 1.35216, 0.1889826802931864
2013.09.20 00:00:00, 0, 1.35217, 1.35281, 1.352, -0.05990371033229545
2013.09.19 00:00:00, 0, 1.35359, 1.35384, 1.35217, -0.1233756159546141
2013.09.18 00:00:00, 0, 1.35265, 1.35301, 1.35359, 0.04287879347946807
2013.09.11 00:00:00, 0, 1.33181, 1.33204, 1.33508, 0.2282607879502447
2013.09.10 00:00:00, 0, 1.3268, 1.32704, 1.33312, 0.4582454024721198
2013.09.09 00:00:00, 0, 1.3257, 1.32588, 1.33181, 0.4473108546428296
2013.09.02 00:00:00, 0, 1.31918, 1.31962, 1.31894, -0.05154717324398595
2013.08.30 00:00:00, 0, 1.32195, 1.32244, 1.31918, -0.2466053935474141
2013.08.29 00:00:00, 0, 1.32448, 1.3247, 1.32195, -0.2076286542643174
2013.08.28 00:00:00, 0, 1.33335, 1.33354, 1.32448, -0.6794915063561756
2013.08.27 00:00:00, 0, 1.33883, 1.33907, 1.33335, -0.427238708424516
2013.08.26 00:00:00, 0, 1.33733, 1.33754, 1.33883, 0.09646085857640158
2013.08.23 00:00:00, 0, 1.33788, 1.33837, 1.33883, 0.03438275480610405
2013.08.22 00:00:00, 0, 1.33472, 1.33507, 1.33883, 0.2817070246943169
2013.08.21 00:00:00, 0, 1.3336, 1.33402, 1.33883, 0.3606778644270965
2013.08.20 00:00:00, 0, 1.34191, 1.34211, 1.33788, -0.3152223323471735
2013.08.12 00:00:00, 0, 1.33111, 1.33156, 1.33479, 0.2426546265898269
2013.08.09 00:00:00, 0, 1.33387, 1.33431, 1.33479, 0.03598551582986452
2013.08.08 00:00:00, 0, 1.33785, 1.33807, 1.33387, -0.3139365399708474
2013.08.07 00:00:00, 0, 1.33303, 1.33327, 1.33785, 0.3435781640323195
2013.07.31 00:00:00, 0, 1.32759, 1.32792, 1.32937, 0.109220467162298
2013.07.30 00:00:00, 0, 1.32588, 1.32611, 1.32798, 0.1410384046821762
2013.07.29 00:00:00, 0, 1.32498, 1.32532, 1.32798, 0.2007577472867428
2013.07.26 00:00:00, 0, 1.32765, 1.3281, 1.32759, -0.0384137385606154
2013.07.25 00:00:00, 0, 1.32819, 1.3284, 1.32765, -0.05646782463352596
2013.07.16 00:00:00, 0, 1.31411, 1.31451, 1.31992, 0.4116854753407354
2013.07.11 00:00:00, 0, 1.30925, 1.3095, 1.31411, 0.3521099866335521
2013.07.10 00:00:00, 0, 1.30962, 1.31044, 1.31411, 0.2802339609963073
